Record_ID,Bottle_ID,Customer_Name,Customer_Code,Service_Class,Product_Name,Category,Brand,Bottle_Size,Fill_Level,Seal_Status,Cleanliness_Score,Label_Status,Bottle_Condition,Inbound_Flight,Origin,Destination,SLA_Reuse_Policy,Recommended_Action
1,LIQU_1001,British Airways,BA,First,Kahlúa Liqueur 750ml,Liqueur,Kahlúa,750,90%,Resealed,Poor,Heavily_Damaged,Excellent,BA370,FRA,HKG,Keep all sealed bottles unopened,Keep
2,SPIR_1002,Emirates,EK,Business,Glenlivet Spirits 750ml,Spirits,Glenlivet,750,100%,Sealed,Excellent,Intact,Excellent,EK705,ZRH,JFK,Replace if fill <80% or label damaged,Keep
3,SPIR_1003,Turkish Airlines,TK,Business,Bombay Sapphire Spirits 750ml,Spirits,Bombay Sapphire,750,70%,Opened,Good,Intact,Poor,TK950,IST,DXB,Refill if fill between 60–80% and reseal,Refill
4,WINE_1004,Emirates,EK,Business,Penfolds Wine 1000ml,Wine,Penfolds,1000,75%,Opened,Fair,Heavily_Damaged,Excellent,EK127,ZRH,IST,Discard all opened bottles,Discard
5,CHAM_1005,Emirates,EK,First,Moët & Chandon Champagne 750ml,Champagne,Moët & Chandon,750,70%,Sealed,Excellent,Heavily_Damaged,Acceptable,EK800,IST,HKG,Refill if fill <90% using incoming bottles and reseal,Refill
6,SPIR_1006,Etihad Airways,EY,First,Johnnie Walker Spirits 1000ml,Spirits,Johnnie Walker,1000,55%,Resealed,Excellent,Intact,Acceptable,EY898,SIN,ZRH,Replace if fill <80% or label damaged,Replace
7,CHAM_1007,British Airways,BA,Business,Veuve Clicquot Champagne 750ml,Champagne,Veuve Clicquot,750,50%,Opened,Excellent,Heavily_Damaged,Poor,BA886,FRA,SIN,Refill if fill <90% using incoming bottles and reseal,Refill
8,LIQU_1008,Emirates,EK,First,Kahlúa Liqueur 1000ml,Liqueur,Kahlúa,1000,50%,Opened,Poor,Intact,Excellent,EK897,SIN,IST,Replace if fill <80% or label damaged,Replace
9,CHAM_1009,British Airways,BA,Business,Taittinger Champagne 750ml,Champagne,Taittinger,750,75%,Sealed,Excellent,Intact,Excellent,BA886,JFK,FRA,Discard all opened bottles,Discard
10,CHAM_1010,Lufthansa,LH,First,Moët & Chandon Champagne 1000ml,Champagne,Moët & Chandon,1000,95%,Sealed,Fair,Slightly_Damaged,Poor,LH440,FRA,DOH,Refill if fill between 60–80% and reseal,Keep
11,LIQU_1011,Qatar Airways,QR,First,Grand Marnier Liqueur 1000ml,Liqueur,Grand Marnier,1000,90%,Resealed,Excellent,Slightly_Damaged,Poor,QR663,DXB,ZRH,Refill if fill <90% using incoming bottles and reseal,Keep
12,LIQU_1012,Etihad Airways,EY,Business,Kahlúa Liqueur 750ml,Liqueur,Kahlúa,750,80%,Opened,Excellent,Heavily_Damaged,Poor,EY430,DOH,HKG,Refill if fill between 60–80% and reseal,Refill
13,SPIR_1013,Singapore Airlines,SQ,Business,Absolut Spirits 1000ml,Spirits,Absolut,1000,50%,Resealed,Excellent,Heavily_Damaged,Acceptable,SQ430,ZRH,DOH,"If fill 100% but opened, add 1 additional sealed bottle",Keep
14,LIQU_1014,Qatar Airways,QR,Business,Kahlúa Liqueur 750ml,Liqueur,Kahlúa,750,80%,Resealed,Fair,Heavily_Damaged,Excellent,QR201,JFK,HKG,Discard all opened bottles,Discard
15,SPIR_1015,Emirates,EK,First,Tanqueray Spirits 750ml,Spirits,Tanqueray,750,90%,Sealed,Fair,Heavily_Damaged,Acceptable,EK980,DOH,ZRH,Keep if fill >85% and resealed,Keep
16,LIQU_1016,Turkish Airlines,TK,First,Baileys Liqueur 750ml,Liqueur,Baileys,750,65%,Sealed,Good,Slightly_Damaged,Excellent,TK269,DOH,HKG,Keep if fill >85% and resealed,Keep
17,LIQU_1017,Swiss Intl Air Lines,LX,First,Cointreau Liqueur 750ml,Liqueur,Cointreau,750,65%,Opened,Good,Heavily_Damaged,Poor,LX432,DXB,DOH,Reuse if >70% fill and sealed,Keep
18,SPIR_1018,Etihad Airways,EY,Business,Bombay Sapphire Spirits 750ml,Spirits,Bombay Sapphire,750,85%,Resealed,Poor,Heavily_Damaged,Poor,EY101,DXB,ZRH,Keep all sealed bottles unopened,Keep
19,CHAM_1019,British Airways,BA,First,Piper-Heidsieck Champagne 750ml,Champagne,Piper-Heidsieck,750,75%,Opened,Poor,Slightly_Damaged,Acceptable,BA390,IST,LHR,Keep if fill >85% and resealed,Keep
20,CHAM_1020,Cathay Pacific,CX,First,Laurent-Perrier Champagne 1000ml,Champagne,Laurent-Perrier,1000,70%,Opened,Fair,Heavily_Damaged,Excellent,CX257,FRA,DXB,"If fill 100% but opened, add 1 additional sealed bottle",Keep
21,WINE_1021,Singapore Airlines,SQ,Business,Villa Maria Wine 750ml,Wine,Villa Maria,750,85%,Sealed,Poor,Intact,Poor,SQ800,LHR,CDG,Replace if fill <80% or label damaged,Keep
22,LIQU_1022,Swiss Intl Air Lines,LX,First,Cointreau Liqueur 1000ml,Liqueur,Cointreau,1000,100%,Sealed,Poor,Intact,Poor,LX518,IST,DOH,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
23,SPIR_1023,Qatar Airways,QR,First,Bombay Sapphire Spirits 1000ml,Spirits,Bombay Sapphire,1000,50%,Resealed,Fair,Intact,Poor,QR961,HKG,CDG,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
24,SPIR_1024,Swiss Intl Air Lines,LX,Business,Johnnie Walker Spirits 1000ml,Spirits,Johnnie Walker,1000,60%,Resealed,Good,Slightly_Damaged,Acceptable,LX734,CDG,ZRH,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
